epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,229.022,0.95168,1.23854,1.1081,0.52083,0.50131,0.53293,0.36378,1.00938,1.14771,1.08228,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,233.102,0.96141,1.26258,1.10491,0.49521,0.52537,0.52879,0.35201,1.01256,1.15736,1.08605,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,237.147,0.94662,1.24411,1.10013,0.48893,0.48289,0.51587,0.34946,1.01212,1.14981,1.08883,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
56,241.161,0.95278,1.23337,1.10717,0.56083,0.45211,0.52211,0.34964,1.02083,1.15236,1.09226,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
57,245.205,0.95236,1.20318,1.09348,0.59722,0.46099,0.514,0.35058,1.00921,1.14076,1.08809,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
58,249.288,0.94961,1.2238,1.09543,0.59317,0.44164,0.50963,0.34641,1.0064,1.13802,1.07451,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357
59,253.376,0.95116,1.19228,1.10128,0.58357,0.47339,0.52069,0.34742,1.0126,1.14612,1.07356,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
60,257.559,0.99256,1.24329,1.10713,0.58609,0.48946,0.52241,0.34451,1.02254,1.15544,1.08544,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159
61,261.671,0.95858,1.21794,1.09461,0.59704,0.45678,0.51846,0.34772,1.01942,1.14471,1.08746,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
62,265.733,0.96402,1.21447,1.10637,0.56312,0.46118,0.52092,0.35004,1.01844,1.13921,1.08491,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961
63,269.852,0.93247,1.19199,1.09245,0.56857,0.47444,0.52102,0.35327,1.02689,1.13465,1.09439,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
64,273.936,0.93308,1.19278,1.09873,0.48682,0.51572,0.52081,0.35601,1.02103,1.12875,1.09443,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763
65,278.009,0.92811,1.19605,1.0902,0.48871,0.54698,0.53491,0.35607,1.02656,1.13224,1.09549,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
66,282.094,0.93243,1.20786,1.08715,0.51853,0.52252,0.54267,0.36233,1.01248,1.13028,1.0867,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
67,286.212,0.94458,1.17154,1.08129,0.58913,0.47175,0.53775,0.36095,1.00424,1.12788,1.07801,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
68,290.294,0.94828,1.20035,1.09202,0.56893,0.47973,0.53896,0.36784,0.99763,1.12459,1.07189,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367
69,294.36,0.96114,1.19834,1.09598,0.61265,0.48366,0.55187,0.3743,0.99503,1.12176,1.07391,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
